('a', '\n'),0.004685134790981695
('a', 'a'),7.296826309780322e-05
('a', 'h'),0.0004149175744777046
('h', '\n'),0.0017369308117790806
('h', 'e'),0.005379048665539236
('e', 'd'),0.008835455135964197
('d', '\n'),0.008839747386734657
('h', 'i'),0.004235020760186226
('i', 'n'),0.0174225320273445
('n', 'g'),0.008502376476176578
('g', '\n'),0.005577636801185806
('h', 's'),0.000239221442940249
('s', '\n'),0.021651829786503447
('a', 'l'),0.011605959933269808
('l', '\n'),0.005243127391141367
('l', 'i'),0.009413478239719344
('i', 'i'),0.00016568087973971792
('i', '\n'),0.0009648979731991862
('i', 's'),0.010445049174886327
('l', 's'),0.0008487210523454289
('a', 'm'),0.0032764180881170468
('m', '\n'),0.002975388234082188
('a', 'n'),0.011458020356714654
('n', 'i'),0.006377712344799366
('a', 'r'),0.009086408731010368
('r', 'd'),0.0016216123410794153
('d', 'v'),0.00010730626926147533
('v', 'a'),0.0014364732578469497
('r', 'k'),0.0005514111489783013
('k', '\n'),0.0010115404315715075
('k', 's'),0.0005064855909141636
('d', 'w'),0.0001413581253737835
('w', 'o'),0.0009288430667273305
('o', 'l'),0.00523540133975454
('l', 'f'),0.00027069794859028176
('f', '\n'),0.0003353678601985309
('l', 'v'),0.0003119035559866883
('v', 'e'),0.005077732661453013
('e', 's'),0.013429021910509433
('r', 'g'),0.0009317045672409698
('g', 'h'),0.0008195337471063076
('r', 'o'),0.008899266597418354
('o', 'n'),0.013468224467546292
('n', '\n'),0.007336315016868545
('i', 'c'),0.010301115699050269
('c', '\n'),0.00391739420317226
('c', 'a'),0.006659570145392841
('i', 't'),0.007111973376599221
('t', 'e'),0.012656130621775447
('e', '\n'),0.01629882077563833
('t', 'i'),0.014205919299962514
('r', 'r'),0.0016456489453939857
('h', 'h'),3.204880575276063e-05
('r', 'u'),0.0017372169618304447
('u', '\n'),0.0002323538417075146
('a', 's'),0.004760678404541773
('s', 'v'),3.719950667731145e-05
('v', 'o'),0.0007313995312862158
('o', 'g'),0.003053793348155906
('g', 'e'),0.003409477862001276
('e', 'l'),0.005604821056065379
('a', 'b'),0.003787768229904397
('b', '\n'),0.00018256373277019002
('b', 'a'),0.0024852131960957685
('b', 'd'),0.00012933982321649827
